CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
3350,BOLIVIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
3510,BRAZIL,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
4279,FRANCE,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
6863,FIJI,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
7420,CAMEROON,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
7480,COTE D'IVOIRE,00010,COCOA BEANS,79893805,79893805,0,13532653,34830699,00010,2020-04
7490,GHANA,00010,COCOA BEANS,7450598,7450598,0,4136060,4136060,00010,2020-04
7530,NIGERIA,00010,COCOA BEANS,612038,612038,0,254625,254625,00010,2020-04
7630,CONGO,00010,COCOA BEANS,152041,152041,0,50823,50823,00010,2020-04
7660,DEMOCRATIC REPUBLIC OF THE CONGO,00010,COCOA BEANS,431601,431601,0,150782,150782,00010,2020-04
4419,SWITZERLAND,00010,COCOA BEANS,19634,19634,0,1684,1684,00010,2020-04
-,TOTAL FOR ALL COUNTRIES,00010,COCOA BEANS,106441271,106441271,3355,24612235,45910281,00010,2020-04
0003,EUROPEAN UNION,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
1XXX,NORTH AMERICA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
4XXX,EUROPE,00010,COCOA BEANS,19634,19634,0,1684,1684,00010,2020-04
7XXX,AFRICA,00010,COCOA BEANS,88775535,88775535,0,18351532,39649578,00010,2020-04
0014,PACIFIC RIM COUNTRIES,00010,COCOA BEANS,2781813,2781813,0,773840,773840,00010,2020-04
5XXX,ASIA,00010,COCOA BEANS,1652613,1652613,0,301400,301400,00010,2020-04
0017,CAFTA-DR,00010,COCOA BEANS,2854621,2854621,0,999054,999054,00010,2020-04
6XXX,AUSTRALIA AND OCEANIA,00010,COCOA BEANS,1129200,1129200,0,472440,472440,00010,2020-04
0020,USMCA (NAFTA),00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
0021,TWENTY LATIN AMERICAN REPUBLICS,00010,COCOA BEANS,14864289,14864289,3355,5485179,5485179,00010,2020-04
0022,OECD,00010,COCOA BEANS,19634,19634,0,1684,1684,00010,2020-04
0023,NATO,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
0024,LAFTA,00010,COCOA BEANS,11434478,11434478,3355,4286501,4286501,00010,2020-04
0025,EURO AREA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
0026,APEC,00010,COCOA BEANS,3105047,3105047,3355,830778,830778,00010,2020-04
0027,ASEAN,00010,COCOA BEANS,1652613,1652613,0,301400,301400,00010,2020-04
0028,CACM,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
2010,MEXICO,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
2050,GUATEMALA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
2190,NICARAGUA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
2230,COSTA RICA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
2450,HAITI,00010,COCOA BEANS,575190,575190,0,199624,199624,00010,2020-04
2470,DOMINICAN REPUBLIC,00010,COCOA BEANS,2854621,2854621,0,999054,999054,00010,2020-04
7830,TANZANIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
